LanguageName,URL
--C-=C-C--,https://esolangs.org/wiki/--C-%3DC-C--
--Unless,https://esolangs.org/wiki/--Unless
--yay,https://esolangs.org/wiki/--yay
-1 bytes :/,https://esolangs.org/wiki/-1%20bytes%20%3A/
-25 bytes (O o),https://esolangs.org/wiki/-25%20bytes%20%28O%20o%29
-5 bytes ;),https://esolangs.org/wiki/-5%20bytes%20%3B%29
-C++,https://esolangs.org/wiki/-C%2B%2B
-Data Storage,https://esolangs.org/wiki/-Data%20Storage
-Output,https://esolangs.org/wiki/-Output
...,https://esolangs.org/wiki/...
... Bottles of beer on the wall,https://esolangs.org/wiki/...%20Bottles%20of%20beer%20on%20the%20wall
.:iI1l!¡,https://esolangs.org/wiki/.%3AiI1l%21%C2%A1
.box,https://esolangs.org/wiki/.box
.chat,https://esolangs.org/wiki/.chat
.CHE$$,https://esolangs.org/wiki/.CHE%24%24
.exe,https://esolangs.org/wiki/.exe
.Gertrude,https://esolangs.org/wiki/.Gertrude
.m@dpr'a'prozessor,https://esolangs.org/wiki/.m%40dpr%27a%27prozessor
.mOdMoDwOrM,https://esolangs.org/wiki/.mOdMoDwOrM
.not required,https://esolangs.org/wiki/.not%20required
.yacuabll,https://esolangs.org/wiki/.yacuabll
.Z.6.S.,https://esolangs.org/wiki/.Z.6.S.
.⍸.,https://esolangs.org/wiki/.%E2%8D%B8.
/,https://esolangs.org/wiki//
///,https://esolangs.org/wiki////
/gɹəʊguː/,https://esolangs.org/wiki//g%C9%B9%C9%99%CA%8Agu%CB%90/
/path,https://esolangs.org/wiki//path
User talk:/w/wiki/index.php/Talk:index.php/Main page,https://esolangs.org/wiki/User%20talk%3A/w/wiki/index.php/Talk%3Aindex.php/Main%20page
0,https://esolangs.org/wiki/0
"0 Bits, 0 Bytes",https://esolangs.org/wiki/0%20Bits%2C%200%20Bytes
0 bytes XD,https://esolangs.org/wiki/0%20bytes%20XD
0(nop^),https://esolangs.org/wiki/0%28nop%5E%29
0+,https://esolangs.org/wiki/0%2B
01,https://esolangs.org/wiki/01
0134,https://esolangs.org/wiki/0134
0587,https://esolangs.org/wiki/0587
05AB1E,https://esolangs.org/wiki/05AB1E
0815,https://esolangs.org/wiki/0815
0bIN,https://esolangs.org/wiki/0bIN
0widthnonjoiner,https://esolangs.org/wiki/0widthnonjoiner
0x29A,https://esolangs.org/wiki/0x29A
0x29C,https://esolangs.org/wiki/0x29C
0x42,https://esolangs.org/wiki/0x42
0x80070050,https://esolangs.org/wiki/0x80070050
1,https://esolangs.org/wiki/1
1 1,https://esolangs.org/wiki/1%201
1 Billion Row Challenge,https://esolangs.org/wiki/1%20Billion%20Row%20Challenge
"1 Bit, a quarter byte",https://esolangs.org/wiki/1%20Bit%2C%20a%20quarter%20byte
1 byte :5,https://esolangs.org/wiki/1%20byte%20%3A5
1+,https://esolangs.org/wiki/1%2B
1.1,https://esolangs.org/wiki/1.1
10,https://esolangs.org/wiki/10
10 1,https://esolangs.org/wiki/10%201
100BF,https://esolangs.org/wiki/100BF
1066,https://esolangs.org/wiki/1066
10Brainfuck,https://esolangs.org/wiki/10Brainfuck
10D Deadfish 7 with Time Travel and a Multiverse,https://esolangs.org/wiki/10D%20Deadfish%207%20with%20Time%20Travel%20and%20a%20Multiverse
11,https://esolangs.org/wiki/11
111,https://esolangs.org/wiki/111
11CORTLANG,https://esolangs.org/wiki/11CORTLANG
123,https://esolangs.org/wiki/123
1231,https://esolangs.org/wiki/1231
1234,https://esolangs.org/wiki/1234
12345678,https://esolangs.org/wiki/12345678
129,https://esolangs.org/wiki/129
13 bytes :D,https://esolangs.org/wiki/13%20bytes%20%3AD
1337,https://esolangs.org/wiki/1337
16 bytes :P,https://esolangs.org/wiki/16%20bytes%20%3AP
16x16 RGB2 panel,https://esolangs.org/wiki/16x16%20RGB2%20panel
1=0,https://esolangs.org/wiki/1%3D0
1argasm,https://esolangs.org/wiki/1argasm
1BNWL,https://esolangs.org/wiki/1BNWL
1cnis,https://esolangs.org/wiki/1cnis
1CP=1ICL,https://esolangs.org/wiki/1CP%3D1ICL
1Fish,https://esolangs.org/wiki/1Fish
1Hash,https://esolangs.org/wiki/1Hash
1L,https://esolangs.org/wiki/1L
1L a,https://esolangs.org/wiki/1L%20a
1L AOI,https://esolangs.org/wiki/1L%20AOI
1L1D,https://esolangs.org/wiki/1L1D
1line,https://esolangs.org/wiki/1line
1mpr0mp2,https://esolangs.org/wiki/1mpr0mp2
1quad,https://esolangs.org/wiki/1quad
1st-Worst,https://esolangs.org/wiki/1st-Worst
